Sample Names	Total Mutations	Cosine Similarity	L1 Norm	L1_Norm_%	L2 Norm	L2_Norm_%	KL Divergence	Correlation
Syntheticpatient1	26	0.993	3.952	15.2%	1.369	12.294%	0.07941	0.993
Syntheticpatient10	25	0.974	6.014	24.056%	2.015	22.671%	0.09574	0.969
Syntheticpatient2	28	0.993	3.904	13.943%	1.431	12.181%	0.04831	0.992
Syntheticpatient3	28	0.998	2.226	7.95%	0.844	6.757%	0.0349	0.998
Syntheticpatient4	27	0.992	4.271	15.819%	1.655	13.208%	0.08973	0.991
Syntheticpatient5	25	0.991	4.567	18.268%	1.598	14.901%	0.1034	0.99
Syntheticpatient6	26	0.987	3.762	14.469%	1.491	16.465%	0.04443	0.984
Syntheticpatient7	27	0.994	3.069	11.367%	1.16	10.724%	0.03274	0.993
Syntheticpatient8	29	0.999	1.336	4.607%	0.495	3.679%	0.00575	0.999
Syntheticpatient9	27	0.983	6.235	23.093%	1.982	18.645%	0.09799	0.981
