Sample Names	Total Mutations	Cosine Similarity	L1 Norm	L1_Norm_%	L2 Norm	L2_Norm_%	KL Divergence	Correlation
Syntheticpatient1	26	0.962	8.041	30.927%	3.063	27.507%	0.13018	0.957
Syntheticpatient10	25	0.965	6.476	25.904%	2.342	26.35%	0.11628	0.958
Syntheticpatient2	28	0.99	4.943	17.654%	1.829	15.569%	0.04786	0.989
Syntheticpatient3	28	0.974	7.531	26.896%	3.021	24.187%	0.08437	0.972
Syntheticpatient4	27	0.979	6.502	24.081%	2.681	21.397%	0.12641	0.977
Syntheticpatient5	25	0.975	6.93	27.72%	2.466	22.996%	0.15528	0.972
Syntheticpatient6	26	0.959	7.35	28.269%	2.556	28.226%	0.08809	0.951
Syntheticpatient7	27	0.911	11.652	43.156%	4.468	41.307%	0.15833	0.897
Syntheticpatient8	29	0.978	7.598	26.2%	2.848	21.169%	0.04776	0.976
Syntheticpatient9	27	0.937	9.725	36.019%	3.71	34.901%	0.19735	0.927
