Sample Names	Total Mutations	Cosine Similarity	L1 Norm	L1_Norm_%	L2 Norm	L2_Norm_%	KL Divergence	Correlation
Syntheticpatient1	18	0.997	1.793	9.961%	0.721	7.775%	0.0567	0.997
Syntheticpatient10	18	0.996	2.469	13.717%	0.969	9.994%	0.08281	0.995
Syntheticpatient2	15	0.999	2.017	13.447%	0.816	7.745%	0.0703	0.999
Syntheticpatient3	16	0.998	2.462	15.388%	0.871	8.624%	0.0828	0.998
Syntheticpatient4	21	0.997	2.102	10.01%	0.801	7.343%	0.04052	0.997
Syntheticpatient5	20	0.999	2.212	11.06%	0.74	5.814%	0.05855	0.999
Syntheticpatient6	20	0.998	2.209	11.045%	0.802	7.034%	0.06147	0.997
Syntheticpatient7	16	0.996	3.097	19.356%	1.216	12.678%	0.10446	0.996
Syntheticpatient8	17	0.997	2.423	14.253%	0.927	8.427%	0.07663	0.997
Syntheticpatient9	17	0.999	2.517	14.806%	1.252	10.056%	0.07723	0.999
