Sample Names	Total Mutations	Cosine Similarity	L1 Norm	L1_Norm_%	L2 Norm	L2_Norm_%	KL Divergence	Correlation
Syntheticpatient1	26	0.898	13.747	52.873%	4.935	44.318%	0.23965	0.884
Syntheticpatient10	25	0.874	12.466	49.864%	4.533	51.0%	0.28077	0.85
Syntheticpatient2	28	0.953	8.263	29.511%	3.763	32.033%	0.08912	0.948
Syntheticpatient3	28	0.887	14.432	51.543%	5.767	46.173%	0.19636	0.873
Syntheticpatient4	27	0.973	7.968	29.511%	3.164	25.251%	0.15211	0.971
Syntheticpatient5	25	0.975	7.204	28.816%	2.423	22.595%	0.1549	0.971
Syntheticpatient6	26	0.9	10.919	41.996%	4.096	45.233%	0.13926	0.88
Syntheticpatient7	27	0.87	15.015	55.611%	5.331	49.285%	0.24302	0.849
Syntheticpatient8	29	0.907	12.273	42.321%	5.829	43.327%	0.10968	0.898
Syntheticpatient9	27	0.909	13.474	49.904%	4.423	41.608%	0.22718	0.894
