Sample Names	Total Mutations	Cosine Similarity	L1 Norm	L1_Norm_%	L2 Norm	L2_Norm_%	KL Divergence	Correlation
Syntheticpatient1	18	0.991	3.567	19.817%	1.281	13.813%	0.09104	0.99
Syntheticpatient10	18	0.993	2.994	16.633%	1.206	12.439%	0.13746	0.992
Syntheticpatient2	15	0.994	3.822	25.48%	1.361	12.918%	0.16874	0.994
Syntheticpatient3	16	0.991	4.54	28.375%	1.629	16.13%	0.14492	0.991
Syntheticpatient4	21	0.994	3.358	15.99%	1.248	11.44%	0.08805	0.993
Syntheticpatient5	20	0.998	2.744	13.72%	0.96	7.542%	0.07331	0.998
Syntheticpatient6	20	0.99	4.41	22.05%	1.625	14.252%	0.14432	0.989
Syntheticpatient7	16	0.995	3.887	24.294%	1.361	14.189%	0.12825	0.995
Syntheticpatient8	17	0.991	4.525	26.618%	1.612	14.655%	0.16759	0.991
Syntheticpatient9	17	0.995	3.771	22.182%	1.271	10.209%	0.14693	0.995
