Sample Names	Total Mutations	Cosine Similarity	L1 Norm	L1_Norm_%	L2 Norm	L2_Norm_%	KL Divergence	Correlation
Syntheticpatient1	26	0.958	8.17	31.423%	3.193	28.674%	0.13706	0.953
Syntheticpatient10	25	0.964	5.929	23.716%	2.364	26.597%	0.12015	0.957
Syntheticpatient2	28	0.989	5.297	18.918%	1.877	15.978%	0.04914	0.988
Syntheticpatient3	28	0.983	5.912	21.114%	2.438	19.52%	0.08191	0.982
Syntheticpatient4	27	0.979	6.698	24.807%	2.744	21.9%	0.1287	0.978
Syntheticpatient5	25	0.976	6.843	27.372%	2.415	22.52%	0.16509	0.973
Syntheticpatient6	26	0.981	5.125	19.712%	1.752	19.348%	0.05679	0.977
Syntheticpatient7	27	0.985	5.673	21.011%	1.905	17.612%	0.05528	0.983
Syntheticpatient8	29	0.99	5.118	17.648%	1.934	14.375%	0.04029	0.989
Syntheticpatient9	27	0.974	7.069	26.181%	2.406	22.634%	0.11421	0.97
