Sample Names	Total Mutations	Cosine Similarity	L1 Norm	L1_Norm_%	L2 Norm	L2_Norm_%	KL Divergence	Correlation
Syntheticpatient1	18	0.989	4.435	24.639%	1.552	16.736%	0.10046	0.988
Syntheticpatient10	18	0.993	2.848	15.822%	1.145	11.81%	0.12404	0.992
Syntheticpatient2	15	0.995	3.669	24.46%	1.255	11.912%	0.15206	0.995
Syntheticpatient3	16	0.993	4.262	26.637%	1.581	15.654%	0.13093	0.993
Syntheticpatient4	21	0.995	2.92	13.905%	1.088	9.974%	0.07542	0.995
Syntheticpatient5	20	0.998	3.009	15.045%	1.228	9.648%	0.07546	0.998
Syntheticpatient6	20	0.994	4.107	20.535%	1.334	11.7%	0.10572	0.993
Syntheticpatient7	16	0.998	2.374	14.838%	0.82	8.549%	0.07848	0.998
Syntheticpatient8	17	0.996	3.693	21.724%	1.582	14.382%	0.11568	0.997
Syntheticpatient9	17	0.996	3.945	23.206%	1.314	10.554%	0.14129	0.996
