Sample Names	Total Mutations	Cosine Similarity	L1 Norm	L1_Norm_%	L2 Norm	L2_Norm_%	KL Divergence	Correlation
Syntheticpatient1	26	0.956	7.707	29.642%	3.258	29.258%	0.14549	0.951
Syntheticpatient10	25	0.879	12.516	50.064%	4.401	49.515%	0.27221	0.856
Syntheticpatient2	28	0.973	6.41	22.893%	2.724	23.188%	0.07429	0.969
Syntheticpatient3	28	0.945	11.684	41.729%	4.422	35.404%	0.14991	0.94
Syntheticpatient4	27	0.892	14.586	54.022%	5.771	46.058%	0.2936	0.881
Syntheticpatient5	25	0.937	12.244	48.976%	3.902	36.386%	0.21317	0.929
Syntheticpatient6	26	0.888	11.909	45.804%	4.364	48.192%	0.16381	0.866
Syntheticpatient7	27	0.839	16.672	61.748%	5.932	54.841%	0.25252	0.813
Syntheticpatient8	29	0.966	8.384	28.91%	3.727	27.703%	0.05604	0.964
Syntheticpatient9	27	0.886	14.309	52.996%	4.939	46.462%	0.2663	0.867
