Sample Names	Total Mutations	Cosine Similarity	L1 Norm	L1_Norm_%	L2 Norm	L2_Norm_%	KL Divergence	Correlation
Syntheticpatient1	18	0.965	6.329	35.161%	2.611	28.155%	0.20747	0.961
Syntheticpatient10	18	0.992	3.601	20.006%	1.291	13.316%	0.14334	0.991
Syntheticpatient2	15	0.993	3.884	25.893%	1.519	14.418%	0.17248	0.993
Syntheticpatient3	16	0.988	3.891	24.319%	1.599	15.832%	0.1707	0.988
Syntheticpatient4	21	0.993	3.531	16.814%	1.315	12.055%	0.0938	0.993
Syntheticpatient5	20	0.993	4.362	21.81%	1.586	12.461%	0.10568	0.992
Syntheticpatient6	20	0.986	5.407	27.035%	1.971	17.287%	0.20576	0.984
Syntheticpatient7	16	0.97	5.996	37.475%	2.47	25.752%	0.1822	0.968
Syntheticpatient8	17	0.982	5.675	33.382%	2.176	19.782%	0.24738	0.981
Syntheticpatient9	17	0.994	4.547	26.747%	1.919	15.414%	0.16976	0.994
