Sample Names	Total Mutations	Cosine Similarity	L1 Norm	L1_Norm_%	L2 Norm	L2_Norm_%	KL Divergence	Correlation
Syntheticpatient1	26	0.99	5.343	20.55%	1.751	15.724%	0.08884	0.989
Syntheticpatient10	25	0.972	5.1	20.4%	2.098	23.604%	0.09618	0.966
Syntheticpatient2	28	0.991	4.403	15.725%	1.736	14.778%	0.05022	0.99
Syntheticpatient3	28	0.993	4.127	14.739%	1.557	12.466%	0.04883	0.992
Syntheticpatient4	27	0.983	6.147	22.767%	2.452	19.569%	0.12502	0.981
Syntheticpatient5	25	0.976	6.608	26.432%	2.371	22.11%	0.15376	0.973
Syntheticpatient6	26	0.982	4.64	17.846%	1.726	19.06%	0.05624	0.978
Syntheticpatient7	27	0.985	5.621	20.819%	1.88	17.381%	0.06083	0.983
Syntheticpatient8	29	0.997	2.776	9.572%	1.027	7.634%	0.01564	0.997
Syntheticpatient9	27	0.978	6.495	24.056%	2.271	21.364%	0.10989	0.974
