Sample Names	Total Mutations	Cosine Similarity	L1 Norm	L1_Norm_%	L2 Norm	L2_Norm_%	KL Divergence	Correlation
Syntheticpatient1	18	0.995	3.102	17.233%	1.045	11.269%	0.07629	0.994
Syntheticpatient10	18	0.993	3.079	17.106%	1.188	12.253%	0.10727	0.992
Syntheticpatient2	15	0.999	2.163	14.42%	0.784	7.441%	0.07461	0.999
Syntheticpatient3	16	0.997	3.382	21.138%	1.377	13.634%	0.11262	0.997
Syntheticpatient4	21	0.995	2.707	12.89%	1.069	9.8%	0.07434	0.995
Syntheticpatient5	20	0.997	3.739	18.695%	1.523	11.966%	0.09838	0.997
Syntheticpatient6	20	0.997	2.456	12.28%	0.857	7.516%	0.06148	0.997
Syntheticpatient7	16	0.997	3.15	19.688%	1.201	12.521%	0.10534	0.997
Syntheticpatient8	17	0.997	2.865	16.853%	1.374	12.491%	0.08936	0.998
Syntheticpatient9	17	0.998	3.145	18.5%	1.173	9.422%	0.09858	0.998
