Sample Names	Total Mutations	Cosine Similarity	L1 Norm	L1_Norm_%	L2 Norm	L2_Norm_%	KL Divergence	Correlation
Syntheticpatient1	26	0.99	5.376	20.677%	1.764	15.841%	0.09116	0.989
Syntheticpatient10	25	0.971	5.193	20.772%	2.142	24.099%	0.09615	0.965
Syntheticpatient2	28	0.993	3.741	13.361%	1.409	11.994%	0.04403	0.992
Syntheticpatient3	28	0.996	3.441	12.289%	1.24	9.928%	0.04285	0.996
Syntheticpatient4	27	0.98	6.76	25.037%	2.665	21.269%	0.13399	0.978
Syntheticpatient5	25	0.988	5.465	21.86%	1.897	17.69%	0.11792	0.987
Syntheticpatient6	26	0.984	3.814	14.669%	1.615	17.835%	0.05138	0.981
Syntheticpatient7	27	0.992	4.137	15.322%	1.393	12.878%	0.04142	0.991
Syntheticpatient8	29	0.998	2.223	7.666%	0.84	6.244%	0.01089	0.998
Syntheticpatient9	27	0.978	5.66	20.963%	2.222	20.903%	0.10687	0.975
