Sample Names	Total Mutations	Cosine Similarity	L1 Norm	L1_Norm_%	L2 Norm	L2_Norm_%	KL Divergence	Correlation
Syntheticpatient1	18	0.956	7.063	39.239%	3.186	34.356%	0.20865	0.951
Syntheticpatient10	18	0.988	4.454	24.744%	1.762	18.174%	0.15633	0.987
Syntheticpatient2	15	0.975	6.315	42.1%	2.788	26.463%	0.20719	0.975
Syntheticpatient3	16	0.987	4.403	27.519%	1.766	17.486%	0.17521	0.986
Syntheticpatient4	21	0.964	7.525	35.833%	3.394	31.113%	0.14278	0.96
Syntheticpatient5	20	0.967	7.948	39.74%	3.307	25.982%	0.16208	0.964
Syntheticpatient6	20	0.986	5.556	27.78%	1.973	17.304%	0.21074	0.984
Syntheticpatient7	16	0.851	10.883	68.019%	5.179	53.995%	0.32396	0.836
Syntheticpatient8	17	0.979	6.489	38.171%	2.409	21.9%	0.24027	0.977
Syntheticpatient9	17	0.965	8.314	48.906%	3.886	31.213%	0.2567	0.964
