Sample Names	Total Mutations	Cosine Similarity	L1 Norm	L1_Norm_%	L2 Norm	L2_Norm_%	KL Divergence	Correlation
Syntheticpatient1	26	0.995	3.719	14.304%	1.305	11.719%	0.07297	0.994
Syntheticpatient10	25	0.967	5.583	22.332%	2.294	25.81%	0.10343	0.961
Syntheticpatient2	28	0.994	3.888	13.886%	1.414	12.037%	0.0473	0.993
Syntheticpatient3	28	0.998	2.766	9.879%	0.969	7.758%	0.04203	0.997
Syntheticpatient4	27	0.992	4.851	17.967%	1.766	14.094%	0.09108	0.991
Syntheticpatient5	25	0.986	6.161	24.644%	2.002	18.669%	0.12898	0.985
Syntheticpatient6	26	0.996	2.346	9.023%	0.846	9.343%	0.03176	0.995
Syntheticpatient7	27	0.993	3.945	14.611%	1.308	12.092%	0.0453	0.992
Syntheticpatient8	29	0.999	1.68	5.793%	0.692	5.144%	0.0055	0.999
Syntheticpatient9	27	0.98	6.409	23.737%	2.147	20.197%	0.11326	0.977
