Sample Names	Total Mutations	Cosine Similarity	L1 Norm	L1_Norm_%	L2 Norm	L2_Norm_%	KL Divergence	Correlation
Syntheticpatient1	26	0.991	5.005	19.25%	1.703	15.293%	0.08118	0.99
Syntheticpatient10	25	0.971	5.283	21.132%	2.111	23.751%	0.09688	0.966
Syntheticpatient2	28	0.992	4.031	14.396%	1.531	13.033%	0.04849	0.992
Syntheticpatient3	28	0.993	4.406	15.736%	1.546	12.378%	0.05298	0.993
Syntheticpatient4	27	0.981	6.482	24.007%	2.597	20.726%	0.12885	0.979
Syntheticpatient5	25	0.974	7.318	29.272%	2.51	23.406%	0.1721	0.971
Syntheticpatient6	26	0.98	5.222	20.085%	1.784	19.701%	0.06124	0.976
Syntheticpatient7	27	0.988	4.739	17.552%	1.671	15.448%	0.0506	0.986
Syntheticpatient8	29	0.999	1.996	6.883%	0.733	5.448%	0.01052	0.998
Syntheticpatient9	27	0.976	6.773	25.085%	2.331	21.928%	0.11072	0.972
