Sample Names	Total Mutations	Cosine Similarity	L1 Norm	L1_Norm_%	L2 Norm	L2_Norm_%	KL Divergence	Correlation
Syntheticpatient1	26	0.899	13.28	51.077%	4.884	43.86%	0.24403	0.886
Syntheticpatient10	25	0.871	12.565	50.26%	4.615	51.923%	0.28733	0.847
Syntheticpatient2	28	0.937	8.678	30.993%	4.152	35.344%	0.11328	0.929
Syntheticpatient3	28	0.865	15.416	55.057%	6.28	50.28%	0.23539	0.848
Syntheticpatient4	27	0.895	14.643	54.233%	5.72	45.651%	0.28662	0.885
Syntheticpatient5	25	0.932	11.555	46.22%	3.96	36.927%	0.22472	0.924
Syntheticpatient6	26	0.868	12.185	46.865%	4.829	53.327%	0.19309	0.842
Syntheticpatient7	27	0.838	16.662	61.711%	5.962	55.119%	0.25222	0.812
Syntheticpatient8	29	0.912	12.031	41.486%	5.741	42.673%	0.10701	0.903
Syntheticpatient9	27	0.845	15.135	56.056%	5.767	54.251%	0.29184	0.82
