Sample Names	Total Mutations	Cosine Similarity	L1 Norm	L1_Norm_%	L2 Norm	L2_Norm_%	KL Divergence	Correlation
Syntheticpatient1	26	0.961	8.046	30.946%	3.097	27.812%	0.12484	0.956
Syntheticpatient10	25	0.967	5.57	22.28%	2.255	25.371%	0.11535	0.961
Syntheticpatient2	28	0.99	5.229	18.675%	1.761	14.991%	0.04858	0.989
Syntheticpatient3	28	0.985	6.23	22.25%	2.313	18.519%	0.08389	0.984
Syntheticpatient4	27	0.979	7.001	25.93%	2.797	22.322%	0.13128	0.978
Syntheticpatient5	25	0.976	6.973	27.892%	2.397	22.352%	0.15978	0.973
Syntheticpatient6	26	0.98	4.926	18.946%	1.797	19.845%	0.06123	0.976
Syntheticpatient7	27	0.985	5.539	20.515%	1.91	17.658%	0.05515	0.983
Syntheticpatient8	29	0.988	5.729	19.755%	2.071	15.394%	0.04351	0.987
Syntheticpatient9	27	0.971	7.431	27.522%	2.539	23.885%	0.11631	0.967
